gid,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,hub_score,authority_score,betweenness,is_articulation,component_id,pass_through,is_frontier_cutoff,n_seed_neighbors,role,role_score,evidence,cluster_id,role_weight,priority_score,why
100000000343175100,0,True,8,31,178712.0,4000039.0,14,33,0.0007166946382018721,0.006589397755091345,0.000289330672528298,0.0009621593645475513,True,0,22.382598818210305,False,1,distributor,1.0,рассылает 4 000 039 KZT на 31 разных получателей,5,0.75,0.5412,рассылает 4 000 039 KZT на 31 разных получателей Кластер 5 (1 seed)  объём входящих 178 712 KZT.
100000000456947100,0,True,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,16,,False,0,terminal,0.8,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4),70,0.25,0.08,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 70 (1 seed)  объём входящих 0 KZT.
100000000580561100,0,True,2,3,27980.0,1488077.0,3,13,0.0008384348345170698,2.5165638266858e-19,9.387962293488574e-19,1.2092493060924398e-06,True,12,53.183595425303785,False,0,peripheral,0.15,"низкая активность: 2 вх./3 исх. плательщиков/получателей, без выраженного паттерна",33,0.1,0.1731,"низкая активность: 2 вх./3 исх. плательщиков/получателей, без выраженного паттерна Кластер 33 (1 seed)  объём входящих 27 980 KZT."
100000001415126100,0,True,1,0,27000.0,0.0,1,0,0.00041140900981635563,-0.0,2.8874364319325576e-07,0.0,False,0,0.0,False,0,terminal,0.8,получил 27 000 KZT от 1 плательщиков  исходящих переводов нет (глубина 0<4),25,0.25,0.2465,получил 27 000 KZT от 1 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 25 (14 seed)  объём входящих 27 000 KZT.
100000001429930100,0,True,1,0,26000.0,0.0,1,0,0.00035234645645923095,-0.0,4.259946144306409e-08,0.0,False,0,0.0,False,0,terminal,0.8,получил 26 000 KZT от 1 плательщиков  исходящих переводов нет (глубина 0<4),31,0.25,0.2459,получил 26 000 KZT от 1 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 31 (3 seed)  объём входящих 26 000 KZT.
100000001616816100,0,True,5,3,176195.0,181326.0,12,10,0.0024461862547303505,2.1870372321527164e-05,4.749001496165258e-07,0.00010339081567090361,True,0,1.0291211441868384,False,0,consolidator,0.5,получает от 5 разных плательщиков (176 195 KZT)  отдаёт дальше 103% полученного,1,0.9,0.3786,получает от 5 разных плательщиков (176 195 KZT)  отдаёт дальше 103% полученного Кластер 1 (3 seed)  объём входящих 176 195 KZT.
100000001732159100,0,True,2,4,2378100.0,1505966.0,30,23,0.0010993974323755236,5.3401858075808906e-05,7.69949262491341e-07,4.010676865206592e-05,False,0,0.633264370716118,False,2,coordinator,0.705,"связан с 2 seed-клиентами напрямую, betweenness=0.000",6,1.0,0.5822,"связан с 2 seed-клиентами напрямую, betweenness=0.000 Кластер 6 (3 seed)  объём входящих 2 378 100 KZT."
100000002527114100,0,True,3,111,129000.0,3289249.0,4,113,0.000814617972518457,4.786761256321906e-16,1.0793409481047371e-19,0.0001975107199950985,True,1,25.49805426356589,False,0,distributor,1.0,рассылает 3 289 249 KZT на 111 разных получателей,38,0.75,0.4949,рассылает 3 289 249 KZT на 111 разных получателей Кластер 38 (1 seed)  объём входящих 129 000 KZT.
100000002916006100,0,True,0,1,0.0,32000.0,0,1,0.00028684885067513784,3.512635343069075e-19,-0.0,0.0,False,0,,False,1,peripheral,0.15,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна",25,0.1,0.036,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна Кластер 25 (14 seed)  объём входящих 0 KZT."
100000003016635100,0,True,8,73,586981.0,9414081.0,36,151,0.0011952566810188175,0.015842594967054723,1.2490791051076769e-05,0.00952344291013101,True,0,16.038135817002594,False,0,coordinator,1.0,"связан с 0 seed-клиентами напрямую, betweenness=0.010, точка сочленения сети",2,1.0,0.7535,"связан с 0 seed-клиентами напрямую, betweenness=0.010, точка сочленения сети Кластер 2 (7 seed)  объём входящих 586 981 KZT."
100000003200071100,0,True,0,1,0.0,30000.0,0,1,0.00028684885067513784,-1.4280876345491614e-19,-0.0,0.0,False,2,,False,0,peripheral,0.15,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна",7,0.1,0.006,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна Кластер 7 (1 seed)  объём входящих 0 KZT."
100000003265658100,0,True,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,17,,False,0,terminal,0.8,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4),71,0.25,0.08,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 71 (1 seed)  объём входящих 0 KZT.
100000003349739100,0,True,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,18,,False,0,terminal,0.8,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4),72,0.25,0.08,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 72 (1 seed)  объём входящих 0 KZT.
100000003684369100,0,True,24,62,3848436.0,8588655.0,58,67,0.002028869963852265,0.024746163659923506,0.0013537174513606302,0.00232941724663607,True,0,2.2317260830113845,False,1,coordinator,0.861,"связан с 1 seed-клиентами напрямую, betweenness=0.002, точка сочленения сети",15,1.0,0.6553,"связан с 1 seed-клиентами напрямую, betweenness=0.002, точка сочленения сети Кластер 15 (5 seed)  объём входящих 3 848 436 KZT."
100000003770083100,0,True,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,19,,False,0,terminal,0.8,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4),73,0.25,0.08,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 73 (1 seed)  объём входящих 0 KZT.
100000003975102100,0,True,1,2,25650.0,88500.0,1,2,0.00034699252992357845,4.642704712358635e-07,3.195678590946628e-19,1.0480160652801146e-05,False,0,3.4502923976608186,False,2,coordinator,0.701,"связан с 2 seed-клиентами напрямую, betweenness=0.000",2,1.0,0.5062,"связан с 2 seed-клиентами напрямую, betweenness=0.000 Кластер 2 (7 seed)  объём входящих 25 650 KZT."
100000003977183100,0,True,2,4,123800.0,766000.0,2,6,0.0003329322852730705,4.951925900256164e-05,4.200664191209718e-05,1.612332408123253e-06,True,0,6.187399030694669,False,1,peripheral,0.15,"низкая активность: 2 вх./4 исх. плательщиков/получателей, без выраженного паттерна",1,0.1,0.2274,"низкая активность: 2 вх./4 исх. плательщиков/получателей, без выраженного паттерна Кластер 1 (3 seed)  объём входящих 123 800 KZT."
100000004007116100,0,True,3,4,764704.0,148000.0,24,6,0.0006304640304726735,6.656385122325102e-19,-2.6937152541445107e-19,8.061662040616265e-07,False,4,0.19353893794200108,False,0,peripheral,0.15,"низкая активность: 3 вх./4 исх. плательщиков/получателей, без выраженного паттерна",44,0.1,0.2271,"низкая активность: 3 вх./4 исх. плательщиков/получателей, без выраженного паттерна Кластер 44 (1 seed)  объём входящих 764 704 KZT."
100000004019124100,0,True,3,0,193000.0,0.0,3,0,0.001207959054622012,-0.0,2.6673228852276597e-08,0.0,True,0,0.0,False,2,coordinator,0.7,"связан с 2 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети",2,1.0,0.5386,"связан с 2 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети Кластер 2 (7 seed)  объём входящих 193 000 KZT."
100000004021459100,0,True,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,20,,False,0,terminal,0.8,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4),74,0.25,0.08,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 74 (1 seed)  объём входящих 0 KZT.
100000004041163100,0,True,1,2,50000.0,866000.0,1,6,0.0020929038577057807,4.642405532587415e-07,3.251091732795159e-19,2.3781903019817984e-05,True,0,17.32,False,2,coordinator,0.703,"связан с 2 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети",25,1.0,0.5181,"связан с 2 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети Кластер 25 (14 seed)  объём входящих 50 000 KZT."
100000004174835100,0,True,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,21,,False,0,terminal,0.8,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4),75,0.25,0.08,получил 0 KZT от 0 плательщиков  исходящих переводов нет (глубина 0<4) Кластер 75 (1 seed)  объём входящих 0 KZT.
100000004193835100,0,True,1,1,47000.0,5000.0,1,1,0.0004719965493240662,4.605582293615564e-07,6.973423529529493e-11,6.046246530462199e-07,False,0,0.10638297872340426,False,1,peripheral,0.15,"низкая активность: 1 вх./1 исх. плательщиков/получателей, без выраженного паттерна",2,0.1,0.2116,"низкая активность: 1 вх./1 исх. плательщиков/получателей, без выраженного паттерна Кластер 2 (7 seed)  объём входящих 47 000 KZT."
100000004269433100,0,True,0,1,0.0,1372000.0,0,67,0.00028684885067513784,-1.0500030194577763e-20,-0.0,0.0,False,0,,False,1,peripheral,0.15,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна",3,0.1,0.036,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна Кластер 3 (3 seed)  объём входящих 0 KZT."
100000004358004100,0,True,0,11,0.0,980850.0,0,17,0.00028684885067513784,0.0036381727346354214,-0.0,0.0,True,0,,False,1,peripheral,0.15,"низкая активность: 0 вх./11 исх. плательщиков/получателей, без выраженного паттерна",15,0.1,0.036,"низкая активность: 0 вх./11 исх. плательщиков/получателей, без выраженного паттерна Кластер 15 (5 seed)  объём входящих 0 KZT."
100000004388983100,0,True,0,2,0.0,450816.0,0,23,0.00028684885067513784,-2.416555786000818e-19,-0.0,0.0,True,9,,False,0,peripheral,0.15,"низкая активность: 0 вх./2 исх. плательщиков/получателей, без выраженного паттерна",26,0.1,0.006,"низкая активность: 0 вх./2 исх. плательщиков/получателей, без выраженного паттерна Кластер 26 (1 seed)  объём входящих 0 KZT."
100000004714705100,0,True,0,1,0.0,36550.0,0,1,0.00028684885067513784,1.0834726262428837e-19,-0.0,0.0,False,0,,False,1,peripheral,0.15,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна",25,0.1,0.036,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна Кластер 25 (14 seed)  объём входящих 0 KZT."
100000004723755100,0,True,0,1,0.0,95000.0,0,5,0.00028684885067513784,1.83106979384137e-19,-0.0,0.0,False,0,,False,0,peripheral,0.15,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна",15,0.1,0.006,"низкая активность: 0 вх./1 исх. плательщиков/получателей, без выраженного паттерна Кластер 15 (5 seed)  объём входящих 0 KZT."
