gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,pass_through,is_frontier_cutoff,n_seed_neighbors,component_id,why,explanation,priority_role,priority_volume,priority_bridge,priority_seed
100000000011452100,peripheral,0.15,0,0.22551,peripheral: 3 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков. Альтернативные сигналы: consolidator.,1,False,3,1,110000.0,16685.0,7,2,0.0004768640252326481,3.368496473580486e-06,0.1516818181818182,False,1,0,"peripheral: role=0.006, volume=0.189, bridge=0.000, seed=0.030; peripheral: 3 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков. Альтернативные сигналы: consolidator.",peripheral: 3 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков. Альтернативные сигналы: consolidator.,0.006,0.18943467346430598,7.501253442354964e-05,0.03
100000000018102100,peripheral,0.15,0,0.150485,peripheral: 1 входящих и 0 исходящих контрагентов; недостаточно выраженных признаков; исходящие за 4-м коленом не наблюдаются.,4,False,1,0,7000.0,0.0,1,0,0.0003204029472448961,0.0,0.0,True,0,0,"peripheral: role=0.006, volume=0.144, bridge=0.000, seed=0.000; peripheral: 1 входящих и 0 исходящих контрагентов; недостаточно выраженных признаков; исходящие за 4-м коленом не наблюдаются.",peripheral: 1 входящих и 0 исходящих контрагентов; недостаточно выраженных признаков; исходящие за 4-м коленом не наблюдаются.,0.006,0.14448508949299557,0.0,0.0
100000000031787100,transit,1.0,1,0.326169,"transit: положительные вход/выход; pass-through=1.00, это месячное соответствие потоков. Альтернативные сигналы: transit.",2,False,1,2,90000.0,90000.0,2,4,0.0004315356304853241,3.962937027741748e-07,1.0,False,0,0,"transit: role=0.140, volume=0.186, bridge=0.000, seed=0.000; transit: положительные вход/выход; pass-through=1.00, это месячное соответствие потоков. Альтернативные сигналы: transit.","transit: положительные вход/выход; pass-through=1.00, это месячное соответствие потоков. Альтернативные сигналы: transit.",0.13999999999999999,0.18615996606090632,8.82500404982937e-06,0.0
100000000041368100,terminal,0.566,2,0.282149,"terminal: положительный вход 160,000 KZT, исходящих нет; возможный конечный получатель в выборке.",1,False,1,0,160000.0,0.0,1,0,0.0003176071236192344,0.0,0.0,False,1,0,"terminal: role=0.057, volume=0.196, bridge=0.000, seed=0.030; terminal: положительный вход 160,000 KZT, исходящих нет; возможный конечный получатель в выборке.","terminal: положительный вход 160,000 KZT, исходящих нет; возможный конечный получатель в выборке.",0.0566,0.1955492407135347,0.0,0.03
100000000076451100,peripheral,0.15,3,0.193914,peripheral: 3 входящих и 4 исходящих контрагентов; недостаточно выраженных признаков. Альтернативные сигналы: consolidator.,2,False,3,4,87707.0,58000.0,4,4,0.0013962008641423944,9.76863977338341e-05,0.661292713238396,False,0,0,"peripheral: role=0.006, volume=0.186, bridge=0.002, seed=0.000; peripheral: 3 входящих и 4 исходящих контрагентов; недостаточно выраженных признаков. Альтернативные сигналы: consolidator.",peripheral: 3 входящих и 4 исходящих контрагентов; недостаточно выраженных признаков. Альтернативные сигналы: consolidator.,0.006,0.18573881136348103,0.0021753634982829397,0.0
100000000089154100,distributor,0.3695,0,0.323581,"distributor: исходящий веер на 15 получателей, выход 425,500 KZT. Альтернативные сигналы: distributor.",1,False,1,15,10000.0,425500.0,1,21,0.0002874458184490932,0.00010895478461069696,42.55,False,2,0,"distributor: role=0.111, volume=0.150, bridge=0.002, seed=0.060; distributor: исходящий веер на 15 получателей, выход 425,500 KZT. Альтернативные сигналы: distributor.","distributor: исходящий веер на 15 получателей, выход 425,500 KZT. Альтернативные сигналы: distributor.",0.11085,0.1503049602342929,0.0024262974877135666,0.06
100000000190228100,peripheral,0.15,4,0.145476,peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,2,False,1,1,5000.0,28560.0,1,1,0.0005820068181865647,2.159800680119253e-05,5.712,False,0,0,"peripheral: role=0.006, volume=0.139, bridge=0.000, seed=0.000; peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.",peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,0.006,0.13899513931169458,0.00048096272071570064,0.0
100000000201868100,transit,1.0,5,0.338354,"transit: положительные вход/выход; pass-through=1.00, это месячное соответствие потоков. Альтернативные сигналы: transit.",2,False,1,1,190000.0,190000.0,1,1,0.0009746432509228604,0.0,1.0,False,0,0,"transit: role=0.140, volume=0.198, bridge=0.000, seed=0.000; transit: положительные вход/выход; pass-through=1.00, это месячное соответствие потоков. Альтернативные сигналы: transit.","transit: положительные вход/выход; pass-through=1.00, это месячное соответствие потоков. Альтернативные сигналы: transit.",0.13999999999999999,0.1983536449198543,0.0,0.0
100000000254336100,peripheral,0.15,0,0.19384,peripheral: 2 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,3,False,2,1,97177.0,60000.0,2,1,0.0002919351427687482,1.922024458454748e-05,0.6174300503205491,False,0,0,"peripheral: role=0.006, volume=0.187, bridge=0.000, seed=0.000; peripheral: 2 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.",peripheral: 2 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,0.006,0.18741201615085873,0.0004280126964167244,0.0
100000000267734100,peripheral,0.15,1,0.233551,peripheral: 2 входящих и 7 исходящих контрагентов; недостаточно выраженных признаков.,1,False,2,7,180000.0,282000.0,4,8,0.0005373190777888428,3.5666433249675733e-06,1.5666666666666667,False,1,0,"peripheral: role=0.006, volume=0.197, bridge=0.000, seed=0.030; peripheral: 2 входящих и 7 исходящих контрагентов; недостаточно выраженных признаков.",peripheral: 2 входящих и 7 исходящих контрагентов; недостаточно выраженных признаков.,0.006,0.19747132797618638,7.942503644846432e-05,0.03
100000000274067100,peripheral,0.15,1,0.250738,peripheral: 2 входящих и 3 исходящих контрагентов; недостаточно выраженных признаков.,1,False,2,3,517704.0,2969000.0,9,9,0.0004137036512851875,1.1888811083225246e-06,5.734937338710924,False,1,0,"peripheral: role=0.006, volume=0.215, bridge=0.000, seed=0.030; peripheral: 2 входящих и 3 исходящих контрагентов; недостаточно выраженных признаков.",peripheral: 2 входящих и 3 исходящих контрагентов; недостаточно выраженных признаков.,0.006,0.214711399369272,2.6475012149488108e-05,0.03
100000000287768100,terminal,0.553517,0,0.226177,"terminal: положительный вход 35,168 KZT, исходящих нет; возможный конечный получатель в выборке.",3,False,1,0,35168.0,0.0,1,0,0.0002886880716986401,0.0,0.0,False,0,0,"terminal: role=0.055, volume=0.171, bridge=0.000, seed=0.000; terminal: положительный вход 35,168 KZT, исходящих нет; возможный конечный получатель в выборке.","terminal: положительный вход 35,168 KZT, исходящих нет; возможный конечный получатель в выборке.",0.055351700000000004,0.17082574562091302,0.0,0.0
100000000288317100,peripheral,0.15,0,0.195177,peripheral: 2 входящих и 3 исходящих контрагентов; недостаточно выраженных признаков.,3,False,2,3,100000.0,53500.0,2,3,0.0003128334856204945,5.8255174307803695e-05,0.535,False,0,0,"peripheral: role=0.006, volume=0.188, bridge=0.001, seed=0.000; peripheral: 2 входящих и 3 исходящих контрагентов; недостаточно выраженных признаков.",peripheral: 2 входящих и 3 исходящих контрагентов; недостаточно выраженных признаков.,0.006,0.18787932371173535,0.0012972755953249173,0.0
100000000291906100,transit,0.562796,6,0.290535,"transit: положительные вход/выход; pass-through=1.17, это месячное соответствие потоков. Альтернативные сигналы: transit.",2,False,2,2,388000.0,455854.0,3,6,0.0007629373053537487,7.806985944651244e-05,1.1748814432989692,False,0,0,"transit: role=0.079, volume=0.210, bridge=0.002, seed=0.000; transit: положительные вход/выход; pass-through=1.17, это месячное соответствие потоков. Альтернативные сигналы: transit.","transit: положительные вход/выход; pass-through=1.17, это месячное соответствие потоков. Альтернативные сигналы: transit.",0.07879143999999999,0.2100050446407142,0.0017385257978163858,0.0
100000000291908100,peripheral,0.15,6,0.212002,peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,3,False,1,1,295500.0,13300.0,5,1,0.0007065527083397005,1.981468513870874e-05,0.045008460236886635,False,0,0,"peripheral: role=0.006, volume=0.206, bridge=0.000, seed=0.000; peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.",peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,0.006,0.20556080480772232,0.0004412502024914685,0.0
100000000297649100,peripheral,0.15,7,0.178927,peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,2,False,1,1,40000.0,70600.0,1,2,0.0008091385858414708,0.0,1.765,False,0,0,"peripheral: role=0.006, volume=0.173, bridge=0.000, seed=0.000; peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.",peripheral: 1 входящих и 1 исходящих контрагентов; недостаточно выраженных признаков.,0.006,0.1729266415385532,0.0,0.0
100000000299820100,peripheral,0.15,8,0.156305,peripheral: 1 входящих и 0 исходящих контрагентов; недостаточно выраженных признаков; исходящие за 4-м коленом не наблюдаются.,4,False,1,0,10000.0,0.0,1,0,0.0004501620352243437,0.0,0.0,True,0,0,"peripheral: role=0.006, volume=0.150, bridge=0.000, seed=0.000; peripheral: 1 входящих и 0 исходящих контрагентов; недостаточно выраженных признаков; исходящие за 4-м коленом не наблюдаются.",peripheral: 1 входящих и 0 исходящих контрагентов; недостаточно выраженных признаков; исходящие за 4-м коленом не наблюдаются.,0.006,0.1503049602342929,0.0,0.0
100000000307908100,terminal,0.5505,9,0.194045,"terminal: положительный вход 5,000 KZT, исходящих нет; возможный конечный получатель в выборке.",2,False,1,0,5000.0,0.0,1,0,0.0002964337747494595,0.0,0.0,False,0,1,"terminal: role=0.055, volume=0.139, bridge=0.000, seed=0.000; terminal: положительный вход 5,000 KZT, исходящих нет; возможный конечный получатель в выборке.","terminal: положительный вход 5,000 KZT, исходящих нет; возможный конечный получатель в выборке.",0.05505,0.13899513931169458,0.0,0.0
